"idPopulations0","PMID","pNam","popSize","nCases","nControls","popCountry","popMainChar","pSecChar","inclCrit","ageUni","ageMean","ageSD","ageLow","ageUp","femaleFreq","ageClass","sexClass","popDisease","popComorbidity","fromCode","projectName","uploadDate"
,"37740580",,,,,"mali",,,,,,,,,,,,,,1,"projTutoLymphome","2024-02-06"
,"37247203",,,,,"mali",,,,,,,,,,,,,,1,"projTutoLymphome","2024-02-06"
,"37156711",,,,,"france",,,,,,,,,,,,,,1,"projTutoLymphome","2024-02-06"
,"37062647",,,,,"france",,,,,,,,,,,,,,1,"projTutoLymphome","2024-02-06"
,"36894407",,"10344",,,"",," ANSWERNOTFOUND",,,,,,,,,," ANSWERNOTFOUND",,1,"projTutoLymphome","2024-02-06"
,"36820443",,,,,"",,,,,,,,,,,,,,1,"projTutoLymphome","2024-02-06"
,"35791974",,,,,"mali",,,,,,,,,,,,,,1,"projTutoLymphome","2024-02-06"
,"35789106",,,,,"france",,,,,,,,,,,,,,1,"projTutoLymphome","2024-02-06"
,"35197647",,,,,"",,,,,,,,,,,,,,1,"projTutoLymphome","2024-02-06"
,"34955421",,,,,"france",,,,,,,,,,,,,,1,"projTutoLymphome","2024-02-06"
,"34450102",,"121",,,"mali",," ANSWERNOTFOUND",,,,,,,,,," ANSWERNOTFOUND",,1,"projTutoLymphome","2024-02-06"
,"32444284",,,,,"",,,,,,,,,,,,,,1,"projTutoLymphome","2024-02-06"
,"32233762",,,,,"",,,,,,,,,,,,,,1,"projTutoLymphome","2024-02-06"
,"32171674",,,,,"tunisia",,,,,,,,,,,,,,1,"projTutoLymphome","2024-02-06"
,"31948699",,,,,"",,,,,,,,,,,,,,1,"projTutoLymphome","2024-02-06"
,"31331683",,,,,"france",,,,,,,,,,,,,,1,"projTutoLymphome","2024-02-06"
,"31283408",,,,,"mali",," ANSWERNOTFOUND",,,,,,,,,," ANSWERNOTFOUND",,1,"projTutoLymphome","2024-02-06"
,"31257097",,,,,"france",,,,,,,,,,,,,,1,"projTutoLymphome","2024-02-06"
,"31178272",,,,,"germany",,,,,,,,,,,,,,1,"projTutoLymphome","2024-02-06"
,"31155369",,,,,"",,,,,,,,,,,,,,1,"projTutoLymphome","2024-02-06"
,"31094173",,,,,"",,,,,,,,,,,,,,1,"projTutoLymphome","2024-02-06"
,"31027874",,,,,"",,,,,,,,,,,,,,1,"projTutoLymphome","2024-02-06"
,"30843638",,,,,"",," ANSWERNOTFOUND",,,,,,,,,," ANSWERNOTFOUND",,1,"projTutoLymphome","2024-02-06"
,"30686358",,,,,"mali, france",,,,,,,,,,,,,,1,"projTutoLymphome","2024-02-06"
,"30686353",,,,,"",,,,,,,,,,,,,,1,"projTutoLymphome","2024-02-06"
,"30595199",,,,,"",,,,,,,,,,,,,,1,"projTutoLymphome","2024-02-06"
,"30337049",,,,,"",,,,,,,,,,,,,,1,"projTutoLymphome","2024-02-06"
,"30033076",,,,,"",,,,,,,,,,,,,,1,"projTutoLymphome","2024-02-06"
,"29801709",,,,,"france",,,,,,,,,,,,,,1,"projTutoLymphome","2024-02-06"
,"29773281",,,,,"",,,,,,,,,,,,,,1,"projTutoLymphome","2024-02-06"
,"29709235",,,,,"tunisia",,,,,,,,,,,,,,1,"projTutoLymphome","2024-02-06"
,"29673751",,,,,"",,,,,,,,,,,,,,1,"projTutoLymphome","2024-02-06"
,"29661476",,,,,"france, mali",,,,,,,,,,,,,,1,"projTutoLymphome","2024-02-06"
,"29657120",,,,,"",,,,,,,,,,,,,,1,"projTutoLymphome","2024-02-06"
,"29289336",,,,,"mali",,,,,,,,,,,,,,1,"projTutoLymphome","2024-02-06"
,"29209924",,,,,"mali",,,,,,,,,,,,,,1,"projTutoLymphome","2024-02-06"
,"28396065",,,,,"mali",,,,,,,,,,,,,,1,"projTutoLymphome","2024-02-06"
,"28088309",,,,,"",,,,,,,,,,,,,,1,"projTutoLymphome","2024-02-06"
,"27866679",,,,,"mali",,,,,,,,,,,,,,1,"projTutoLymphome","2024-02-06"
,"27161647",,,,,"",,,,,,,,,,,,,,1,"projTutoLymphome","2024-02-06"
,"27107559",,,,,"",,,,,,,,,,,,,,1,"projTutoLymphome","2024-02-06"
,"27080498",,,,,"france, mali",," ANSWERNOTFOUND",,,,,,,,,," ANSWERNOTFOUND",,1,"projTutoLymphome","2024-02-06"
,"30512707",,,,,"france",,,,,,,,,,,,,,1,"projTutoLymphome","2024-02-06"
,"26992750",,,,,"",,,,,,,,,,,,,,1,"projTutoLymphome","2024-02-06"
,"26655425",,,,,"germany",," myelosuppression and infections.",,,,,,,,,," ANSWERNOTFOUND",,1,"projTutoLymphome","2024-02-06"
,"26604081",,,,,"france",,,,,,,,,,,,,,1,"projTutoLymphome","2024-02-06"
,"26071128",,,,,"",,,,,,,,,,,,,,1,"projTutoLymphome","2024-02-06"
,"25976140",,,,,"mali",,,,,,,,,,,,,,1,"projTutoLymphome","2024-02-06"
,"25066629",,,,,"mali",," ANSWERNOTFOUND",,,,,,,,,," ANSWERNOTFOUND",,1,"projTutoLymphome","2024-02-06"
,"24550425",,"767",,,"france",," ANSWERNOTFOUND",,,,,,,,,," ANSWERNOTFOUND",,1,"projTutoLymphome","2024-02-06"
,"23149845",,,,,"mali",," ANSWERNOTFOUND",,,,,,,,,," ANSWERNOTFOUND",,1,"projTutoLymphome","2024-02-06"
,"21496005",,,,,"mali",," ANSWERNOTFOUND",,,,,,,,,," ANSWERNOTFOUND",,1,"projTutoLymphome","2024-02-06"
,"21395545",,,,,"",,,,,,,,,,,,,,1,"projTutoLymphome","2024-02-06"
,"22793520",,,,,"china",,,,,,,,,,,,,,1,"projTutoLymphome","2024-02-06"
,"18371107",,,,,"mali",," ANSWERNOTFOUND",,,,,,,,,," ANSWERNOTFOUND",,1,"projTutoLymphome","2024-02-06"
,"16086888",,,,,"mali",,,,,,,,,,,,,,1,"projTutoLymphome","2024-02-06"
,"15867204",,"399",399,399,"",," ANSWERNOTFOUND",,,,,,,,,," ANSWERNOTFOUND",,1,"projTutoLymphome","2024-02-06"
,"12486547",,,,,"mali, germany",,,,,,,,,,,,,,1,"projTutoLymphome","2024-02-06"
